,Genre
0,easy listening
1,country
2,pop
3,rock and roll
4,doo wop
5,rock and roll
6,oldies
7,rock and roll
8,rock and roll
9,pop
10,rock and roll
11,folk
12,rock and roll
13,country
14,rock and roll
15,pop
16,country
17,pop
18,rock
19,doo wop
20,pop
21,pop
22,pop
23,rock
24,soul
25,
26,country
27,soul
28,pop
29,rnb
30,swing
31,rock and roll
32,soul
33,country
34,pop
35,pop
36,country
37,jazz
38,rock and roll
39,pop
40,60s
41,country
42,country
43,60s
44,motown
45,country
46,funk
47,oldies
48,doo wop
49,rock
50,pop
51,country
52,country
53,rock
54,rock and roll
55,doo wop
56,rock and roll
57,pop
58,easy listening
59,pop
60,easy listening
61,rock and roll
62,rock
63,soul
64,soul
65,motown
66,exodus
67,pop
68,jazz
69,60s
70,rnb
71,doo wop
72,rock and roll
73,motown
74,blues
75,pop
76,easy listening
77,country
78,easy listening
79,easy listening
80,rock and roll
81,pop
82,pop
83,rnb
84,rock
85,original backing tracksdon't bet money honey
86,pop
87,country
88,rock and roll
89,doo wop
90,
91,rock
92,oldies
93,pop
94,country
95,rock and roll
96,easy listening
97,soul
98,rock and roll
99,doo wop
100,easy listening
101,soul
102,rnb
103,rock and roll
104,easy listening
105,pop
106,pop
107,soul
108,rock and roll
109,motown
110,rock and roll
111,rock and roll
112,doo wop
113,rock and roll
114,pop
115,country
116,rock and roll
117,country
118,motown
119,rock
120,jazz
121,pop
122,soul
123,rock
124,rock and roll
125,pop
126,motown
127,jazz
128,pop
129,rock
130,oldies
131,rock and roll
132,60s
133,female vocalists
134,60s
135,country
136,pop
137,soul
138,
139,instrumental
140,rnb
141,rock
142,pop
143,pop
144,pop
145,folk
146,pop
147,1962
148,oldies
149,doo wop
150,oldies
151,rock
152,country
153,pop
154,fip
155,pop
156,pop
157,soul
158,instrumental
159,soul
160,easy listening
161,pop
162,pop
163,rock
164,doo wop
165,folk
166,folk
167,pop
168,love
169,surf
170,easy listening
171,instrumental
172,jazz
173,pop
174,soul
175,pop
176,surf
177,rock and roll
178,pop
179,rock and roll
180,rock
181,motown
182,doo wop
183,pop
184,pop
185,rock
186,pop
187,easy listening
188,pop
189,pop
190,easy listening
191,rnb
192,oldies
193,soul
194,motown
195,rock
196,pop
197,jazz
198,soul
199,pop
200,jazz
201,rock
202,rock
203,swing
204,motown
205,folk
206,pop
207,motown
208,easy listening
209,jazz
210,rock
211,
212,motown
213,pop
214,soul
215,pop
216,pop
217,rock
218,names
219,rock and roll
220,
221,rock
222,pop
223,60s
224,rock
225,
226,motown
227,oldies
228,pop
229,pop
230,soul
231,rock
232,rock
233,rock and roll
234,soul
235,rock
236,soul
237,
238,reggae
239,soul
240,rock
241,pop
242,folk
243,jazz
244,rock
245,soul
246,soul
247,soul
248,oldies
249,pop
250,rock
251,
252,rock
253,folk
254,rock
255,pop
256,rock
257,rock
258,soul
259,pop
260,country
261,pop
262,the sopranos
263,soul
264,pop
265,pop
266,jazz
267,pop
268,motown
269,soul
270,pop
271,folk
272,pop
273,rock
274,easy listening
275,soul
276,pop
277,rock
278,rock
279,easy listening
280,soul
281,pop
282,
283,pop
284,motown
285,soul
286,60s
287,pop
288,folk
289,pop
290,rock
291,60s
292,pop
293,herman's hermits
294,
295,rock
296,pop
297,rock
298,soundtrack
299,pop
300,rock
301,pop
302,pop
303,motown
304,rock
305,rock
306,rock
307,motown
308,easy listening
309,rock
310,rock
311,easy listening
312,pop
313,motown
314,jazz
315,rock
316,pop
317,rock
318,soul
319,rock
320,pop
321,rock
322,rock
323,rock
324,rock
325,
326,rock
327,motown
328,rock
329,60s
330,rock
331,other
332,soul
333,soul
334,country
335,pop
336,soul
337,pop
338,rock
339,rock
340,pop
341,pop
342,rock
343,soul
344,rock
345,soul
346,rock
347,pop
348,folk
349,blues
350,pop
351,rock
352,pop
353,rock
354,rock
355,jazz
356,rock
357,pop
358,easy listening
359,rock
360,rock
361,soul
362,soul
363,soft rock
364,pop
365,soul
366,soul
367,soul
368,soft rock
369,soul
370,rock
371,rock
372,rock
373,soul
374,rock
375,motown
376,motown
377,oldies
378,soul
379,rock
380,soul
381,rock
382,motown
383,rock
384,rock
385,pop
386,doo wop
387,motown
388,rock
389,soft rock
390,pop
391,easy listening
392,pop
393,rock
394,
395,pop
396,
397,
398,pop
399,soul
400,easy listening
401,country
402,soul
403,rock
404,rock
405,easy listening
406,soundtracks
407,rock
408,soul
409,country
410,soul
411,rock
412,rock
413,pop
414,rock
415,soul
416,jazz
417,rock
418,funk
419,soul
420,motown
421,soul
422,pop
423,rock
424,rock
425,motown
426,pop
427,jazz
428,folk
429,rock
430,soul
431,pop
432,rock
433,rock
434,jazz
435,reggae
436,pop
437,rock
438,rock
439,iron leg
440,pop
441,rock
442,soul
443,soul
444,soul
445,rock
446,guilty pleasure
447,pop
448,rock
449,macarthur park
450,pop
451,jazz
