,0
0,23.7K
1,55.5K
2,121.5K
3,28.5K
4,26.3K
5,250.4K
6,17.3K
7,194.7K
8,204.6K
9,47.6K
10,25.3K
11,25.2K
12,14K
13,128.1K
14,7347
15,9525
16,46.4K
17,8607
18,211.3K
19,25.5K
20,17.2K
21,40K
22,17.4K
23,56.3K
24,163.8K
25,103
26,16.1K
27,204.2K
28,57.6K
29,20.5K
30,365K
31,8511
32,7317
33,8707
34,4425
35,21.6K
36,21.9K
37,18.5K
38,13.4K
39,1638
40,5556
41,8940
42,8901
43,8637
44,16.8K
45,17.4K
46,3868
47,1354
48,21.7K
49,4454
50,24.7K
51,132.8K
52,10.3K
53,252.3K
54,340.9K
55,16K
56,20.9K
57,8775
58,22.8K
59,3989
60,8091
61,94.8K
62,79.4K
63,52.3K
64,56.8K
65,244.2K
66,395
67,50.3K
68,719.4K
69,1042
70,5454
71,13K
72,41.8K
73,115.2K
74,5755
75,5572
76,5375
77,17.9K
78,29.8K
79,22.2K
80,12.7K
81,8895
82,47.5K
83,30.9K
84,5668
85,0
86,6076
87,20.2K
88,71.2K
89,104.7K
90,620
91,3848
92,11.2K
93,2347
94,46.6K
95,174.5K
96,12.6K
97,31.8K
98,45.3K
99,22.2K
100,60.6K
101,197.3K
102,28K
103,6288
104,24.8K
105,19K
106,6134
107,7796
108,204.6K
109,42.6K
110,36.8K
111,178K
112,83.2K
113,29.1K
114,111.7K
115,19K
116,10.8K
117,21.1K
118,36.4K
119,155.3K
120,9985
121,50.7K
122,192.5K
123,7092
124,20.4K
125,44.6K
126,38K
127,36.2K
128,64.7K
129,13.5K
130,14.4K
131,2505
132,8149
133,25.3K
134,12.3K
135,3571
136,2870
137,142.1K
138,154
139,4114
140,13.3K
141,2834
142,11K
143,60.1K
144,67.6K
145,29.9K
146,63K
147,2270
148,1670
149,10.7K
150,5451
151,254.7K
152,214.8K
153,63.7K
154,203
155,184.1K
156,35.2K
157,25.1K
158,8629
159,48.8K
160,52.7K
161,57.8K
162,41.8K
163,17.1K
164,18.5K
165,13.9K
166,27.4K
167,7856
168,1245
169,118.2K
170,14.8K
171,3124
172,10.5K
173,71.1K
174,6136
175,42.1K
176,67.7K
177,92K
178,210K
179,4448
180,7727
181,18.6K
182,28.3K
183,55.9K
184,48.7K
185,195.6K
186,41.6K
187,11.1K
188,9955
189,20.7K
190,18.2K
191,9446
192,15.2K
193,57.6K
194,542.5K
195,54.8K
196,7093
197,14.6K
198,18K
199,15.9K
200,125.5K
201,99.8K
202,422.1K
203,222.5K
204,268.8K
205,10.5K
206,15.9K
207,240.7K
208,42.3K
209,20.2K
210,162.3K
211,4139
212,258.1K
213,7295
214,223.1K
215,126.3K
216,15.3K
217,28.7K
218,3780
219,18.6K
220,0
221,34.9K
222,144K
223,56.3K
224,36.7K
225,719
226,328.6K
227,2584
228,56.9K
229,139.3K
230,237.7K
231,1M
232,8513
233,24K
234,2594
235,8344
236,10.1K
237,1
238,33.8K
239,1054
240,920
241,36.7K
242,96.9K
243,298.6K
244,2583
245,7287
246,35.8K
247,175.5K
248,5102
249,12.5K
250,127K
251,73
252,991.9K
253,15.4K
254,197.2K
255,228.9K
256,36.8K
257,132.5K
258,773.2K
259,67.2K
260,180.1K
261,23.8K
262,744
263,146.6K
264,253K
265,46.6K
266,7979
267,46K
268,199.8K
269,480.9K
270,40.5K
271,40.6K
272,18.3K
273,494.5K
274,11.3K
275,6484
276,27.7K
277,123.8K
278,132.6K
279,11.5K
280,219.1K
281,16.3K
282,576
283,28.8K
284,43.3K
285,6606
286,5727
287,3986
288,1.1M
289,46.2K
290,51.1K
291,21K
292,4158
293,3162
294,18
295,432.7K
296,338.9K
297,76.4K
298,151.7K
299,34.3K
300,10.5K
301,63.5K
302,4916
303,153.9K
304,0
305,147.7K
306,213.2K
307,403.6K
308,9055
309,761.8K
310,297.2K
311,7484
312,340K
313,165.9K
314,472.2K
315,46.8K
316,27.5K
317,36.7K
318,382.5K
319,1.3M
320,22.7K
321,30.9K
322,364K
